iter	Passed	Remaining
0	0	69
1	1	62
2	1	59
3	2	54
4	3	57
5	3	56
6	4	55
7	4	54
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	49
14	8	48
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	45
21	12	44
22	13	44
23	13	43
24	14	43
25	15	42
26	15	42
27	16	41
28	16	41
29	17	40
30	18	41
31	19	40
32	19	39
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	26	31
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	33	25
57	34	24
58	34	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
